TRACTID,LONGITUDE,LATITUDE
2164,-79.74918549,43.45273778
2200,-79.32878099,43.71196734
2201,-79.73781995,43.77935085
2253,-79.27772287,43.8931086
2256,-79.76803469,43.71508838
2259,-79.62099271,43.8250854
2260,-79.61563264,43.81660715
2261,-79.23561012,43.98135071
2263,-79.2947122,43.78981233
2264,-79.29373108,43.78359373
2267,-79.5705696,43.68016052
2268,-79.56253116,43.68865659
2269,-79.55904824,43.68019672
2292,-79.59476472,43.75596749
2299,-79.35348611,43.77033399
2300,-79.72403951,43.77188623
2301,-79.35366026,43.7827847
2302,-79.35983209,43.77857214
2305,-79.82810153,43.70846151
2327,-79.31410594,43.78082782
2335,-79.51552731,43.85967836
2385,-79.40322463,43.78638038
2412,-79.03871134,43.85393917
2455,-79.24745443,43.74141146
2457,-79.24248073,43.74278587
2459,-79.25045908,43.70767488
2477,-79.43891826,43.92761504
2488,-79.46869828,44.0693494
2510,-79.5253523,43.83654167
2514,-79.20906693,43.88161546
2525,-79.71944637,43.48098515
2528,-79.49686634,44.05688457
2529,-79.49107296,44.06422083
2531,-79.71337813,43.47340041
2532,-79.51366176,43.89245396
2533,-79.47733175,43.87254511
2534,-79.20205015,43.86340802
2545,-79.03748304,43.88201358
2551,-79.33884658,43.71748083
2554,-79.49365365,43.85053004
2555,-79.47303945,43.85435165
2557,-79.23025148,43.88923313
2558,-79.20798794,43.89438368
2563,-79.79247184,43.66087743
2565,-79.80480388,43.63856042
2575,-79.46580916,43.93011306
2578,-79.46057865,43.91241546
2585,-79.89619909,43.6335657
2586,-79.88348016,43.62681171
2600,-79.35489981,44.14440411
2601,-79.24094114,43.84865289
2604,-79.54094753,43.8384613
2609,-79.40890297,43.93571411
2611,-79.73749784,43.55053351
2612,-79.74508412,43.54444349
2613,-79.76123797,43.71923812
2621,-79.44746147,43.70947564
2623,-79.52908837,43.84564258
2626,-79.54544258,43.86156572
2627,-79.54360293,43.85217898
2639,-79.75837764,43.4424169
2641,-79.46104178,43.70688726
2642,-79.49688616,43.70761923
2643,-79.49902122,43.71477152
2644,-79.43966552,43.72904897
2645,-79.503912,43.73108831
2646,-79.50341313,43.73763589
2647,-79.84809374,43.49660771
2649,-79.83885341,43.49883133
2651,-79.91712315,43.64059445
2654,-79.83550659,43.51342849
2656,-79.85095306,43.52806529
2657,-79.90125209,43.64373387
2658,-79.8646018,43.48168098
2664,-79.41422358,43.78336873
2667,-79.84857179,43.67994006
2668,-79.76646971,43.43545021
2669,-79.75418082,43.43201152
2670,-79.6951458,43.4977517
2671,-79.69842547,43.48890115
2672,-79.83099886,43.52341
2673,-79.84187167,43.51861567
2732,-79.74075901,43.75527266
2759,-79.8455101,43.5247241
2760,-79.88720078,43.4966882
2761,-79.73071711,43.78313237
2765,-79.74879931,43.75995795
2805,-79.0040504,43.84570356
2808,-78.99952115,43.86280917
2809,-79.35189525,43.68614097
2817,-79.30816824,43.73085995
2818,-79.31905272,43.73462742
2823,-79.32589004,43.75653203
2824,-79.3293379,43.7466724
2825,-79.36644507,43.76031399
2826,-79.37329563,43.7539038
2827,-79.42601259,43.73455515
2828,-79.42312948,43.72531704
2841,-79.34308214,43.66287238
2846,-79.2497265,43.70190198
2860,-79.37447235,43.6706688
2870,-79.48132094,43.64248324
2871,-79.44113033,43.66084456
2872,-79.37251404,43.66947671
2874,-79.33779677,43.66514156
2875,-79.38109913,43.66948045
2880,-79.37917062,43.66488286
2886,-79.78424683,44.13300653
2889,-79.39335346,43.70435854
2890,-79.49255084,43.67661524
2891,-79.48588493,43.68058878
2892,-79.44549179,43.69863972
2893,-79.4455587,43.70250579
2894,-79.5101603,43.69819634
2895,-79.52583752,43.70405321
2896,-79.34386751,43.68678283
2897,-79.34673479,43.6943376
2899,-79.35707857,43.69004064
2900,-79.29407453,43.69812451
2901,-79.29996404,43.70519065
2902,-79.57781424,43.63601533
2903,-79.56628806,43.64050021
2904,-79.5541551,43.64257211
2905,-79.55816088,43.65143533
2907,-79.18573082,43.82903013
2910,-79.51587847,43.66974893
2911,-79.51718667,43.6805189
2912,-79.57915113,43.66781402
2913,-79.57536716,43.6573244
2914,-79.57110042,43.6487685
2938,-79.64021595,43.71509729
2958,-79.32595223,43.72060882
2963,-79.33350836,43.69073428
2966,-79.33324421,43.68706738
2967,-79.37023492,43.70443939
2968,-79.25919777,43.74689935
2969,-79.36261635,43.71651367
2970,-79.23536419,43.74488179
2971,-79.21861905,43.75509965
2972,-79.20843853,43.75850939
2973,-79.18629483,43.75953163
2974,-79.18006403,43.76634048
2997,-79.23640444,43.82576338
3009,-79.71818757,43.57947442
3010,-79.73993234,43.7154209
3011,-79.74608187,43.73702601
3012,-79.73907184,43.73223701
3019,-79.44861676,43.75553824
3020,-79.44685454,43.74937855
3021,-79.33208938,43.77964606
3022,-79.33645325,43.78897508
3023,-79.34766287,43.79062112
3024,-79.36072919,43.78820479
3025,-79.22516169,43.8328324
3034,-79.20287624,43.81874202
3039,-79.64347006,43.72684014
3040,-79.72665511,43.72424162
3041,-79.73559104,43.74679942
3042,-79.72859343,43.74155606
3043,-79.72137326,43.73680377
3044,-79.71552361,43.73146157
3045,-79.71976255,43.71773668
3046,-79.71414272,43.71301666
3049,-79.43472008,43.76954951
3050,-79.5213966,43.75181331
3051,-79.38229832,43.66424943
3052,-79.44885477,43.787757
3053,-79.44214262,43.78699444
3061,-79.43008238,43.79346186
3062,-79.38522732,43.79027191
3063,-79.38530039,43.80081704
3064,-79.39198118,43.70032461
3065,-79.63437314,43.73036148
3066,-79.65306381,43.71610824
3067,-79.64890889,43.7218099
3068,-79.59064439,43.5462578
3069,-79.5781872,43.55821998
3070,-79.73664319,43.59704188
3082,-79.20407102,43.74500677
3083,-79.39161254,43.69884305
3084,-79.37397835,43.71436945
3085,-79.27739051,43.69469093
3086,-79.26718217,43.72334731
3087,-79.27317455,43.72836734
3091,-79.19463693,43.76260649
3101,-79.05730859,43.86976436
3157,-79.48186096,43.6170833
3188,-79.0689307,43.866772
3190,-79.05394869,43.84995166
3212,-79.06400771,43.8584348
3213,-79.59018493,43.65135459
3214,-79.54690973,43.68294197
3215,-79.55077761,43.69150574
3216,-79.53462556,43.68658787
3217,-79.52252654,43.68770581
3224,-79.57271577,43.73954836
3225,-79.55740939,43.73703934
3234,-79.04440937,43.86030674
3235,-79.55328466,43.69699554
3236,-79.55729203,43.70040691
3237,-79.38420286,43.66878871
3238,-79.58535966,43.73519054
3266,-79.41255641,43.63393908
3278,-79.54638194,43.65440623
3282,-79.47943159,43.62614589
3300,-79.46749617,43.65883135
3303,-79.4640768,43.65958714
3309,-79.4637677,43.64555614
3312,-79.47415925,43.64575343
3313,-79.51527286,43.61406395
3362,-79.37598361,43.81518135
3363,-79.39197738,43.8098767
3394,-79.54219344,43.6453123
3406,-79.80247184,44.16028573
3409,-79.08898024,43.85690526
3454,-79.42421323,43.84914157
3455,-79.41662066,43.85295987
3456,-79.41466704,43.81249245
3457,-79.41076149,43.83307789
3458,-79.39688302,43.82918111
3462,-79.08748422,43.87144413
3463,-79.36474355,43.70725554
3477,-79.32773188,43.76509187
3484,-79.47725295,43.72594714
3485,-79.43544754,43.66797356
3486,-79.43353474,43.66346208
3487,-79.44251635,43.66719959
3488,-79.28406085,43.78760716
3493,-79.21492979,43.78715232
3494,-79.40769477,43.72042897
3495,-79.20611872,43.77614934
3496,-79.2122067,43.76683941
3497,-79.23578022,43.77153607
3498,-79.24479686,43.76765637
3501,-79.28269771,43.77040604
3502,-79.27654315,43.75942421
3503,-79.28222433,43.75299767
3504,-79.31335802,43.77306478
3505,-79.3010804,43.77576504
3506,-79.29125087,43.77802334
3507,-79.30910967,43.79291467
3508,-79.31834356,43.78969215
3509,-79.40611601,43.71477926
3511,-79.27410453,43.7880309
3512,-79.27988737,43.80128832
3513,-79.44197993,43.72047291
3514,-79.26197467,43.78587756
3515,-79.21978407,43.79446002
3516,-79.26763884,43.88627542
3517,-79.43486845,43.72238193
3518,-79.42548746,43.77265271
3519,-79.62418352,43.50137416
3524,-79.57941767,43.78065933
3533,-79.45100242,43.87210559
3534,-79.45296861,43.88132378
3535,-79.47775059,44.00225612
3536,-79.46215922,44.04516106
3539,-79.48963736,44.08903837
3540,-79.56980603,43.5660059
3542,-79.06310036,43.82505462
3543,-79.10176737,43.81758024
3544,-79.11445293,43.80584231
3545,-79.1088056,43.84051137
3546,-79.44334977,43.66455179
3549,-79.57180873,43.58146929
3550,-79.54886762,43.71654979
3551,-79.54909889,43.72638891
3554,-79.34732129,43.72709741
3555,-79.31794476,43.74464471
3563,-79.77304706,43.5966664
3564,-79.76237054,43.5900076
3568,-79.01252187,43.84206341
3569,-79.00921665,43.83532573
3576,-79.31997185,43.75071542
3577,-79.32494393,43.76060536
3578,-79.00771391,43.82681617
3579,-79.02071938,43.83132493
3582,-79.41634339,43.63857921
3584,-79.72030108,43.68280219
3585,-79.7337157,43.67426979
3586,-79.74855691,43.68982994
3587,-79.7429481,43.68113707
3588,-79.47947117,43.73080201
3589,-79.49439627,43.7218939
3590,-79.76798318,43.70066169
3591,-79.75794284,43.69599257
3592,-79.75741246,43.70974814
3593,-79.74856183,43.70421161
3594,-79.76980421,43.85596863
3595,-79.7271633,43.86310797
3596,-79.08922772,43.82180763
3601,-79.60897653,43.52487412
3602,-79.64706933,43.5057463
3603,-79.64202494,43.51296793
3604,-79.62817724,43.53221094
3605,-79.6107722,43.54365579
3609,-79.59747673,43.77544439
3610,-79.44362847,43.84123507
3611,-79.41909398,43.77268773
3625,-79.55466707,43.57644209
3628,-79.44260447,43.64845976
3629,-79.44009905,43.64346522
3631,-79.70839018,43.45767116
3633,-79.56105983,43.59250868
3634,-79.60158119,43.57294881
3635,-79.5933634,43.58031046
3636,-79.63441347,43.55461489
3637,-79.61782133,43.5726537
3638,-79.4679231,44.05259249
3639,-79.45235218,44.06640969
3640,-79.47186081,44.06079692
3641,-79.43730597,44.13850322
3653,-79.61100054,43.59497479
3654,-79.61394429,43.58626913
3655,-79.59474266,43.60626946
3656,-79.59256671,43.61163696
3657,-79.58870526,43.61793206
3665,-79.60849834,43.56868803
3666,-79.75673315,43.57377269
3670,-79.75398782,43.58646964
3671,-79.74780179,43.5760627
3672,-79.74277276,43.58092335
3673,-79.48722909,43.72997699
3674,-79.68968274,43.53882749
