TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
2,43.87819312501162,-79.4272866628539,19333,8484,5144,2727,3
12,43.84193031329616,-79.41911599817678,16242,6904,4344,2440,3
26,43.89151585165683,-79.39477309175474,21721,8059,11870,2595,3
27,43.88403804574861,-79.39927715677746,20911,7963,11109,2564,3
28,43.88293090984639,-79.41067964643841,20366,8179,11142,2608,3
32,43.90082623974006,-79.45728290040043,21693,9609,5888,3163,3
48,43.89158087217356,-79.45590017499342,20862,9298,5674,2988,3
95,44.02640165858153,-79.48786228836772,32178,12386,7104,3630,3
108,44.03769299000029,-79.48932435175951,32872,12668,7072,3548,3
117,43.56241774107431,-79.69542729604409,22272,6792,5462,2848,3
126,43.57570145011731,-79.78059163697425,28280,8718,4482,3070,3
127,43.58080749467602,-79.62161811183425,17046,4895,3137,2257,3
128,43.57350932057112,-79.62985810096329,17627,5159,3880,2401,3
130,43.83445910627647,-79.09096793002075,24243,7554,5652,2804,3
132,43.84344261148258,-79.07197364625267,25951,7966,6079,2672,3
135,44.03422991687156,-79.44949228085731,32922,11676,7111,3368,3
136,44.03992725742355,-79.42616405446273,34324,11675,7835,3075,3
137,43.69462564238022,-79.78962088845836,28929,8972,5925,3108,3
138,43.68529018162025,-79.77592785294387,27821,8601,5773,3188,3
139,43.74252764146492,-79.75983743850158,27187,8822,9836,2959,3
140,43.74642852054983,-79.75362093321424,27025,8913,10065,3002,3
141,43.87919126910149,-79.72424288419577,31084,9728,6201,3609,3
142,43.86468884966047,-79.71031266464686,29429,9293,5648,3415,3
143,43.79643098480425,-79.83810835997589,33856,10434,200000,3167,3
144,43.73788175487634,-79.90244534679996,37957,11748,200000,3413,3
145,43.56885561259935,-79.70674377471833,22858,6852,5554,2892,3
160,43.94494382679591,-79.46825351442611,25516,10552,6168,3179,3
166,43.95463758263921,-79.47051899179925,26160,10747,6295,3171,3
167,43.95456426805557,-79.44444973762796,25914,10286,6309,3070,3
170,43.62517882769711,-79.66599317631903,18739,5810,5408,2671,3
171,43.63979344279324,-79.62843250016617,15927,5043,5582,2383,3
172,43.7218041330377,-79.6329722735766,18208,6092,4122,2479,3
173,43.71862912206176,-79.62912017789216,17821,6056,3701,2390,3
177,43.61614554890814,-79.70231017880116,21631,6710,7947,2566,3
178,43.60653333226457,-79.71485171427169,22539,6987,10107,2697,3
193,44.04671016883165,-79.49230803816286,33506,12869,6809,3626,3
205,43.84526215295132,-79.51563886746501,19412,6747,4692,2966,3
208,43.79295267912742,-79.55478750382301,18269,6255,4215,2630,3
282,43.80056513196937,-79.55079357287833,18799,6415,4784,2689,3
285,43.80715392700689,-79.51220974789345,19512,5909,5608,2904,3
295,43.83581301742697,-79.48792560835294,17071,6009,4842,2659,3
453,43.69745607299632,-79.391439021821,3207,1572,1589,1315,3
499,43.80648486446715,-79.61108452949027,21198,7286,10379,3113,3
500,43.80490972941328,-79.59279679803198,20781,7118,10668,2902,3
506,43.858038706103,-79.53409025049429,21376,6508,4557,2789,3
536,43.78153001366151,-79.23026044311683,16215,5403,3976,2306,3
538,43.79914925708084,-79.26838404926964,17046,5220,4486,2464,3
539,43.80409959610132,-79.25395189993483,17817,5707,4151,2406,3
552,43.77770666577901,-79.24815148961459,15499,5120,3467,2213,3
642,43.84826694808823,-79.26020318404629,21754,6785,6355,2643,3
643,43.83837727265376,-79.25933045445038,21032,6548,5317,2694,3
644,43.83950666238677,-79.29788056550318,19796,6079,6043,2456,3
670,43.86282283975497,-79.24322639364061,24914,7582,10172,2730,3
682,43.64207378388206,-79.41579818778723,2585,928,1074,1363,1
684,43.64322176047876,-79.4072102058463,2240,806,1750,1336,1
685,43.87209443667863,-79.24669791231064,25129,7538,5471,2786,3
702,43.64503639025084,-79.74086053904061,25139,7795,9035,2746,3
703,43.62461831647393,-79.76618020054205,26662,8197,10172,2798,3
726,43.87565743401809,-79.37119401390484,21593,7997,6582,2464,3
728,43.8858156925278,-79.32879194612171,23388,6993,12883,2736,3
736,43.68084605729111,-79.78974027697181,29050,9135,11113,3168,3
737,43.61322997666055,-79.75684277653939,25823,7983,10400,2672,3
738,43.61859577373575,-79.72814339888353,24131,7454,11708,2846,3
739,43.81507925221118,-79.5650004328278,20601,6933,9768,2840,3
