,0
1049,POINT (-79.42020687185635 43.67805539567129)
1050,POINT (-79.40611800424276 43.67721964643624)
1055,POINT (-79.24275937547417 43.72412907822208)
1056,POINT (-79.25759422266155 43.70667905925019)
1059,POINT (-79.78754230508548 43.5795490540187)
1062,POINT (-79.28773865548868 43.70495603453585)
1064,POINT (-79.27324884853988 43.70677700282649)
1065,POINT (-79.26363539180599 43.71113592207956)
1066,POINT (-79.27181303919384 43.92590747010066)
1080,POINT (-79.39692571517247 43.68527183624736)
1081,POINT (-79.39960753658443 43.6916927767675)
1082,POINT (-79.39719800169075 43.69442325159424)
1083,POINT (-79.390338215466 43.68673978846198)
1084,POINT (-79.38101099433661 43.68991566116553)
1085,POINT (-79.38277590386708 43.69816463801449)
1086,POINT (-79.38254692962391 43.70674263493111)
1089,POINT (-79.43293888338556 43.70315414144831)
1090,POINT (-79.42150755497912 43.70576103990577)
1091,POINT (-79.4133655075297 43.70702411391864)
1092,POINT (-79.6878072749016 43.71129667308392)
1093,POINT (-79.69595975433847 43.69975929804095)
1097,POINT (-79.76044933953409 43.68572395986441)
1105,POINT (-79.65749652540674 43.46900360224989)
1106,POINT (-79.67109254000343 43.45722115691814)
1107,POINT (-79.680094582804 43.44772999517244)
1108,POINT (-79.66551536878016 43.44726339633529)
1109,POINT (-79.33538298184997 43.64724310158087)
1110,POINT (-79.38167343559545 43.62313686593851)
1116,POINT (-79.72463717044801 43.40929433697956)
1119,POINT (-79.41808801346845 43.64719141399196)
1120,POINT (-79.42636390756299 43.6453988272257)
1121,POINT (-79.43017278442801 43.6511998426983)
1122,POINT (-79.43492978752221 43.64749688854057)
1124,POINT (-79.4448186490588 43.64259257838796)
1125,POINT (-79.4510993236776 43.64224793895451)
1127,POINT (-79.46108972554664 43.66464063690233)
1128,POINT (-79.46788624337741 43.66410823297578)
1131,POINT (-79.36641464546031 43.90753039674239)
1133,POINT (-79.40499406691731 43.65975184292972)
1134,POINT (-79.4066460163353 43.66409492833215)
1135,POINT (-79.39742285456595 43.66324189601723)
1138,POINT (-79.67982208993429 43.43332175099524)
1139,POINT (-79.69281232339429 43.4397929136114)
1140,POINT (-79.70675087840901 43.42799994965466)
1141,POINT (-79.70829242819453 43.41812110384855)
1142,POINT (-79.69436366166245 43.41404195172385)
1143,POINT (-79.35964381551894 43.64943111496975)
1145,POINT (-79.47332033530415 43.82978828586044)
1146,POINT (-79.33043028501967 43.66680142649475)
1147,POINT (-79.34993242362009 43.662739649199)
1148,POINT (-79.36005763354279 43.65867911575211)
1149,POINT (-79.11960278533454 43.95525247391813)
1150,POINT (-79.47343603013289 43.65672836668859)
1151,POINT (-79.48227770040141 43.65484446446698)
1152,POINT (-79.47706052183145 43.66403090029952)
1153,POINT (-79.47241691463418 43.67137196813755)
1154,POINT (-79.46345365389901 43.67733548143043)
1158,POINT (-79.41189173269561 43.68048557819041)
1159,POINT (-79.40592380256119 43.68522822369221)
1160,POINT (-79.39558230704631 43.68131940944641)
1161,POINT (-79.36863303244112 43.7320656592472)
1163,POINT (-79.11724630637882 43.89111329720946)
1164,POINT (-79.35623056836616 43.67411266877294)
1165,POINT (-79.34758022178414 43.67514174836271)
1167,POINT (-79.33401861630817 43.67124767640107)
1168,POINT (-79.32443171375994 43.67430580280119)
1169,POINT (-79.3269505203052 43.67945457686687)
1170,POINT (-79.31762719607637 43.6822508787026)
1172,POINT (-79.03038920473332 43.84640522354727)
1173,POINT (-79.02411441014979 43.85723829010368)
1174,POINT (-79.32875203687722 43.68422185209017)
1175,POINT (-79.33938749345955 43.68202903825328)
1176,POINT (-79.3501992062655 43.68069465799316)
1177,POINT (-79.35884347902837 43.67898888884272)
1178,POINT (-79.40465687166207 43.70908246499246)
1180,POINT (-79.39026508037064 43.71375155459813)
1181,POINT (-79.39529560326787 43.72210947516194)
1182,POINT (-79.41655491577846 43.71413214454131)
1192,POINT (-79.45076660165923 43.63526686988173)
1193,POINT (-79.43979228862067 43.63746250694556)
1194,POINT (-79.4304979609775 43.63991158083461)
1195,POINT (-79.4333303955359 43.63591096119649)
1197,POINT (-79.41862843060292 43.64319928713166)
1198,POINT (-79.40277357942306 43.70135296293419)
1199,POINT (-79.41038323599921 43.69593688502827)
1200,POINT (-79.41888918121388 43.69417379526386)
1201,POINT (-79.36630120000308 43.74372805706312)
1202,POINT (-79.34865630668328 43.74479399485699)
1217,POINT (-79.45451112523159 43.65056684548262)
1218,POINT (-79.44811196651834 43.65093899351287)
1220,POINT (-79.39461345865155 43.64584448424186)
1221,POINT (-79.3821473013479 43.64858635240007)
1222,POINT (-79.37538107380284 43.6505875222913)
1223,POINT (-79.36388372380702 43.65375168508987)
1224,POINT (-79.37757537751615 43.66925535371108)
1225,POINT (-79.37308869408703 43.66527119290536)
1226,POINT (-79.36510431646589 43.6704107915458)
1227,POINT (-79.36224379732647 43.66523296732564)
1228,POINT (-79.35059920927945 43.66921909889036)
1237,POINT (-79.34629531811511 43.65824153635475)
1238,POINT (-79.33475744649378 43.66082419068939)
1239,POINT (-79.31560670107099 43.66396441120565)
1245,POINT (-79.42652359089668 43.68535769837198)
1246,POINT (-79.36113748736356 43.66190239183417)
1247,POINT (-79.37138813379345 43.66085144612585)
1248,POINT (-79.36952200288998 43.65654476130735)
1249,POINT (-79.38495209317001 43.65610866787856)
1250,POINT (-79.39246894766855 43.65183945098774)
1251,POINT (-79.39429611909419 43.65636901346038)
1252,POINT (-79.40279171213793 43.65476440955184)
1253,POINT (-79.4419637575709 43.65441589026992)
1254,POINT (-79.43278547403922 43.65640866150252)
1255,POINT (-79.42604582291074 43.65779548987307)
1256,POINT (-79.42071074478839 43.65885744559518)
1257,POINT (-79.41431362398599 43.66251216473142)
1258,POINT (-79.41265190312244 43.65817512640149)
1261,POINT (-79.53433583719755 43.65656558723889)
1264,POINT (-79.52740077167537 43.6683004282005)
1265,POINT (-79.37841477493274 43.72168119991179)
1266,POINT (-79.39184576851697 43.73860923252633)
1267,POINT (-79.27514173290248 43.7460874268405)
1268,POINT (-79.29364618124123 43.66935981846403)
1269,POINT (-79.28658263254729 43.67643053248087)
1270,POINT (-79.29509686905578 43.6755804830501)
1271,POINT (-79.30469841820307 43.67223446880573)
1272,POINT (-79.31374330505311 43.67138075416138)
1273,POINT (-79.32254410167464 43.66733722828465)
1274,POINT (-79.50659323478442 43.60552943184749)
1275,POINT (-79.31515312635625 43.67731896500909)
1276,POINT (-79.30476984617013 43.68053171910482)
1277,POINT (-79.29250267309942 43.68396431704893)
1278,POINT (-79.40114449073101 43.65010800850961)
1279,POINT (-79.40873574630001 43.64899313943452)
1280,POINT (-79.41079258976731 43.65357417932986)
1281,POINT (-79.42011731034647 43.65220981498251)
1282,POINT (-79.50188478169021 43.62809681281252)
1283,POINT (-79.37370282720315 43.68376626645171)
1284,POINT (-79.3784229095069 43.67713534992242)
1285,POINT (-79.38396136759637 43.67255479101807)
1286,POINT (-79.39206716134753 43.6718516360999)
1287,POINT (-79.31244298274585 43.72072399102858)
1290,POINT (-79.63071862475886 43.86343359171727)
1291,POINT (-79.25846658973566 43.72197770732824)
1293,POINT (-79.27945937619985 43.72103915474604)
1294,POINT (-79.29179395137145 43.71831148026813)
1295,POINT (-79.30364138117079 43.73394932583177)
1297,POINT (-79.24627466861428 43.75025592654455)
1299,POINT (-79.22916322788531 43.75198100368265)
1301,POINT (-79.39734925914205 43.73093822844449)
1302,POINT (-79.49290273056909 43.65439583666693)
1304,POINT (-79.31915067898379 43.68625953773341)
1308,POINT (-79.39274497495191 43.67683425784455)
1310,POINT (-79.40927507788442 43.67030763701478)
1311,POINT (-79.41654153573705 43.66875362098678)
