TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
4263,44.01941203,-79.82099489,45093,14442,200000,4408,3
4264,43.48229965,-79.64332791,24009,7001,10288,2604,3
4265,43.49071595,-79.66432361,23413,6946,8258,2404,3
4266,43.42381346,-79.74192253,31749,9393,16834,2850,3
4281,43.78392136,-79.14402768,19194,6055,4755,2649,3
4282,43.80397862,-79.15713226,20312,6820,4290,2499,3
4283,43.79339165,-79.16656312,18760,6268,4491,2392,3
4284,43.78925413,-79.18380836,18218,6019,4670,2414,3
4285,43.81577188,-79.30894999,17462,5239,4051,2434,3
4319,43.53635029,-79.90044689,39192,11696,10783,3239,3
4469,44.29474329,-79.19603985,66972,21118,200000,5024,3
4478,43.65483561,-79.89480159,36666,11380,6782,3533,3
4479,43.64748593,-79.929347,38634,11950,7826,3652,3
4480,43.65568207,-79.93309075,38952,12012,7812,3779,3
4481,43.64988087,-79.97715531,42472,13176,200000,3846,3
4490,44.26340291,-79.33675844,57127,18439,200000,4241,3
4491,44.20056123,-79.48286142,48319,15150,10475,3890,3
4493,44.3588797,-79.43169471,59593,18307,200000,4565,3
4507,43.82796727,-79.5958217,23246,7950,10816,3030,3
4508,43.83810224,-79.57135535,22580,7495,8648,2835,3
4509,43.83669123,-79.55295821,21767,7268,9626,2768,3
4620,43.81135015,-79.31966922,16557,5133,4187,2398,3
4621,43.81473246,-79.31768969,16919,5250,3996,2417,3
4622,43.81418069,-79.2176036,19499,6405,5093,2534,3
4623,43.8118182,-79.20881419,19685,6368,4706,2544,3
4624,43.79648387,-79.13997531,20416,6324,4358,2526,3
4656,43.83086558,-79.29481208,19380,5964,5977,2637,3
4657,43.86301869,-79.34267073,20697,7857,11556,2559,3
4658,43.85872345,-79.36103887,19889,7538,11279,2433,3
4659,43.84912429,-79.27107011,21706,6760,13092,2503,3
4685,43.60338288,-79.65038041,17848,5467,5177,2576,3
4694,43.8150358,-79.33229851,16428,6179,4613,2272,3
4695,43.74992965,-79.6120088,17285,5863,4401,2642,3
4696,43.86453313,-79.41990717,18370,8242,5370,2601,3
4719,43.80282191,-79.17828154,20135,6487,5334,2522,3
4720,43.80232576,-79.31348141,16009,4864,3939,2305,3
4721,43.84626096,-79.50575542,19071,6595,4927,2936,3
4722,43.7407539,-79.61583462,17895,5990,5969,2471,3
4723,43.7996429,-79.57000919,19551,6575,13196,2803,3
4724,43.7888186,-79.60979144,19881,6731,5378,2877,3
4725,43.84333475,-79.28594314,20709,6483,12736,2509,3
4729,43.8816259,-79.27887999,24333,7297,4782,2795,3
4739,43.80313089,-79.22280429,18456,6018,5057,2510,3
4740,43.80401956,-79.21436526,19049,6143,4872,2474,3
4741,43.5959453,-79.62619016,16102,4975,4210,2385,3
4742,43.54795203,-79.66844299,21206,6651,6099,2545,3
4743,43.57218471,-79.68305798,21834,6601,5307,2879,3
4744,43.5834063,-79.67261587,19984,6083,5358,2658,3
4745,43.69683896,-79.78008881,28115,8694,5334,2964,3
4746,43.72495022,-79.73420981,25644,7925,5868,2857,3
4747,43.72224727,-79.70457867,22913,7911,4409,2956,3
4748,43.72726849,-79.70863143,23294,7746,4608,2930,3
4749,43.88094177,-79.95615564,44094,14164,200000,3916,3
4750,43.83231406,-80.02958065,49453,14974,200000,4017,3
4751,43.72634938,-79.77893853,28745,9540,9502,2950,3
4752,43.70899216,-79.79795469,29545,9249,6147,3159,3
4753,43.83546068,-79.11741609,23776,7366,5748,2749,3
