TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
2,43.87819313,-79.42728666,19333,8484,5144,2727,3
12,43.84193031,-79.419116,16242,6904,4344,2440,3
26,43.89151585,-79.39477309,21721,8059,11870,2595,3
27,43.88403805,-79.39927716,20911,7963,11109,2564,3
28,43.88293091,-79.41067965,20366,8179,11142,2608,3
32,43.90082624,-79.4572829,21693,9609,5888,3163,3
48,43.89158087,-79.45590017,20862,9298,5674,2988,3
95,44.02640166,-79.48786229,32178,12386,7104,3630,3
108,44.03769299,-79.48932435,32872,12668,7072,3548,3
117,43.56241774,-79.6954273,22272,6792,5462,2848,3
126,43.57570145,-79.78059164,28280,8718,4482,3070,3
127,43.58080749,-79.62161811,17046,4895,3137,2257,3
128,43.57350932,-79.6298581,17627,5159,3880,2401,3
130,43.83445911,-79.09096793,24243,7554,5652,2804,3
132,43.84344261,-79.07197365,25951,7966,6079,2672,3
135,44.03422992,-79.44949228,32922,11676,7111,3368,3
136,44.03992726,-79.42616405,34324,11675,7835,3075,3
137,43.69462564,-79.78962089,28929,8972,5925,3108,3
138,43.68529018,-79.77592785,27821,8601,5773,3188,3
139,43.74252764,-79.75983744,27187,8822,9836,2959,3
140,43.74642852,-79.75362093,27025,8913,10065,3002,3
141,43.87919127,-79.72424288,31084,9728,6201,3609,3
142,43.86468885,-79.71031266,29429,9293,5648,3415,3
143,43.79643098,-79.83810836,33856,10434,200000,3167,3
144,43.73788175,-79.90244535,37957,11748,200000,3413,3
145,43.56885561,-79.70674377,22858,6852,5554,2892,3
160,43.94494383,-79.46825351,25516,10552,6168,3179,3
166,43.95463758,-79.47051899,26160,10747,6295,3171,3
167,43.95456427,-79.44444974,25914,10286,6309,3070,3
170,43.62517883,-79.66599318,18739,5810,5408,2671,3
171,43.63979344,-79.6284325,15927,5043,5582,2383,3
172,43.72180413,-79.63297227,18208,6092,4122,2479,3
173,43.71862912,-79.62912018,17821,6056,3701,2390,3
177,43.61614555,-79.70231018,21631,6710,7947,2566,3
178,43.60653333,-79.71485171,22539,6987,10107,2697,3
193,44.04671017,-79.49230804,33506,12869,6809,3626,3
205,43.84526215,-79.51563887,19412,6747,4692,2966,3
208,43.79295268,-79.5547875,18269,6255,4215,2630,3
282,43.80056513,-79.55079357,18799,6415,4784,2689,3
285,43.80715393,-79.51220975,19512,5909,5608,2904,3
295,43.83581302,-79.48792561,17071,6009,4842,2659,3
453,43.69745607,-79.39143902,3207,1572,1589,1315,3
499,43.80648486,-79.61108453,21198,7286,10379,3113,3
500,43.80490973,-79.5927968,20781,7118,10668,2902,3
506,43.85803871,-79.53409025,21376,6508,4557,2789,3
536,43.78153001,-79.23026044,16215,5403,3976,2306,3
538,43.79914926,-79.26838405,17046,5220,4486,2464,3
539,43.8040996,-79.2539519,17817,5707,4151,2406,3
552,43.77770667,-79.24815149,15499,5120,3467,2213,3
642,43.84826695,-79.26020318,21754,6785,6355,2643,3
643,43.83837727,-79.25933045,21032,6548,5317,2694,3
644,43.83950666,-79.29788057,19796,6079,6043,2456,3
670,43.86282284,-79.24322639,24914,7582,10172,2730,3
682,43.64207378,-79.41579819,2585,928,1074,1363,1
684,43.64322176,-79.40721021,2240,806,1750,1336,1
685,43.87209444,-79.24669791,25129,7538,5471,2786,3
702,43.64503639,-79.74086054,25139,7795,9035,2746,3
703,43.62461832,-79.7661802,26662,8197,10172,2798,3
726,43.87565743,-79.37119401,21593,7997,6582,2464,3
728,43.88581569,-79.32879195,23388,6993,12883,2736,3
736,43.68084606,-79.78974028,29050,9135,11113,3168,3
737,43.61322998,-79.75684278,25823,7983,10400,2672,3
738,43.61859577,-79.7281434,24131,7454,11708,2846,3
739,43.81507925,-79.56500043,20601,6933,9768,2840,3
