TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
983,43.55934192,-79.59762174,17067,5261,2898,1971,3
984,43.56737158,-79.58759006,16270,5005,3259,1905,3
990,43.83720441,-79.46216873,18292,6920,4808,2455,3
991,44.07486644,-79.77304057,49565,15867,7446,4316,3
993,43.60418015,-79.60616294,15954,4866,3843,2020,3
994,43.61501219,-79.60331286,15458,4632,3067,2113,3
1001,43.98820162,-79.43060636,31303,11008,7532,2904,3
1003,43.80718033,-79.71018769,26959,9718,8158,2910,3
1004,43.73771639,-79.44594532,10363,3944,2164,2316,2
1005,43.73139751,-79.46589139,10755,3772,3065,2457,3
1007,43.57481816,-79.57999648,15519,4718,3688,1835,3
1009,43.60181728,-79.57873746,13698,4187,2524,1882,3
1012,43.74759785,-79.42869193,10658,3537,3585,2404,3
1013,43.76096275,-79.40080771,10831,4841,2551,2191,3
1015,43.55449,-79.65930239,20763,6144,3885,2383,3
1016,43.55748178,-79.65012894,19971,5944,4316,2390,3
1017,43.56394961,-79.66046037,20623,6204,3397,2540,3
1019,43.82720631,-79.57303153,23575,8213,4989,2823,3
1020,43.74183667,-79.53726386,15274,5624,3847,2389,3
1023,43.78040574,-79.43017258,12958,5549,3098,2513,3
1024,43.78827735,-79.42773545,13658,5973,3267,2581,3
1026,43.72683645,-79.52006879,13519,4477,5205,2445,3
1027,43.72355705,-79.53574723,13664,5112,3731,2176,3
1029,43.73796883,-79.49017495,12964,4491,3829,2555,3
1030,43.78198617,-79.34618066,14135,5359,3154,2058,3
1033,43.71195943,-79.23762339,11549,3721,2638,2572,3
1035,43.76878206,-79.44613491,12159,5675,3773,2550,3
1036,43.47630837,-79.75904016,30546,9406,5640,2727,3
1037,43.68276067,-79.27848174,7404,2621,2405,2030,3
1041,43.67067997,-79.45707334,6495,2365,1826,1912,2
1042,43.67071459,-79.44184088,5620,2262,2048,1913,3
1043,43.67435837,-79.44780225,6303,2368,2468,2049,3
1044,43.6792006,-79.454706,7035,2615,2769,2143,3
1045,43.68066187,-79.44738305,6738,2467,2570,2201,3
1046,43.67654546,-79.43849339,5860,2193,2299,2094,3
1047,43.67799293,-79.42952619,5313,2100,1915,1991,2
1048,43.67304022,-79.42842176,5000,1871,1718,1954,2
1049,43.6780554,-79.42020687,4685,1894,1599,1991,2
1050,43.67721965,-79.406118,3630,1552,1008,1669,2
1055,43.72412908,-79.24275938,11825,4035,2220,2496,2
1056,43.70667906,-79.25759422,10220,3437,1997,2343,2
1059,43.57954905,-79.78754231,30510,9671,4228,2808,3
1062,43.70495603,-79.28773866,9137,3528,2704,2063,3
1064,43.706777,-79.27324885,9735,3406,2767,2370,3
1065,43.71113592,-79.26363539,10127,3483,1934,2272,2
1066,43.92590747,-79.27181304,29442,10679,5115,2985,3
1080,43.68527184,-79.39692572,4118,1840,1263,1556,2
1081,43.69169278,-79.39960754,4701,2081,1630,1644,2
1082,43.69442325,-79.397198,4679,2166,1597,1726,2
1083,43.68673979,-79.39033822,4097,1604,1066,1678,2
1084,43.68991566,-79.38101099,4473,1840,1773,1572,3
1085,43.69816464,-79.3827759,5145,2140,2005,1698,3
1086,43.70674263,-79.38254693,6114,2360,2230,1871,3
1089,43.70315414,-79.43293888,6869,2597,1914,2252,2
1090,43.70576104,-79.42150755,6490,2487,2400,2086,3
1091,43.70702411,-79.41336551,6246,2545,2520,2008,3
1092,43.71129667,-79.68780727,23736,8385,3414,2642,3
1093,43.6997593,-79.69595975,24235,7990,2586,2537,3
1097,43.68572396,-79.76044934,28421,9393,2807,2765,3
1105,43.4690036,-79.65749653,24993,7235,4730,2576,3
1106,43.45722116,-79.67109254,26166,7509,4529,2535,3
1107,43.44773,-79.68009458,27381,7922,3642,2503,3
1108,43.4472634,-79.66551537,27232,7756,4366,2615,3
1109,43.6472431,-79.33538298,3965,1258,2805,1607,1
1110,43.62313687,-79.38167344,2126,1964,2126,200000,1
1116,43.40929434,-79.72463717,31026,8784,3423,2634,3
1119,43.64719141,-79.41808801,2720,1159,1782,1643,1
1120,43.64539883,-79.42636391,3244,1304,2025,1765,1
1121,43.65119984,-79.43017278,3701,1549,1918,1652,1
1122,43.64749689,-79.43492979,3957,1496,2126,1492,3
1124,43.64259258,-79.44481865,4397,1685,1877,1532,3
